,ID,Date,Text,Score
29,1621576710809595904,Friday February 03 18:29:49 2023, why am i hyping about this even though i hate this series lmao skull ,0
30,1621576710641664001,Friday February 03 18:29:49 2023,i thought i was done with tassels when i finished  g raha apparently i was wrong i hate tassels,0 
31,1621576710394155008,Friday February 03 18:29:49 2023,rt i see it is a tactic of yours to daily pound into the american psyche a disdain for extreme make america great,0 
32,1621576710230523908,Friday February 03 18:29:49 2023,rt  is the rape of a child a hate crime are the police concerned about that,0 
34,1621576709697933313,Friday February 03 18:29:49 2023,rt god hated job so much he named the worst thing you can have after him,0
35,1621576709525872640,Friday February 03 18:29:49 2023,oh this makes me angry,0  
38,1621576707567149061,Friday February 03 18:29:49 2023, you really must hate yourself for continuing to believe,0 
40,1621576706317484032,Friday February 03 18:29:48 2023, i hate when people do not look me in the eyes and do that weird fidgety shit it is just so annoying same with that thing that people do where they just constantly talk about themselves when I am talking about my own problems the amount of times i have heard this sentence,0 
41,1621576706069766144,Friday February 03 18:29:48 2023,rt ethiopia which is the second most populous nation in africa is also facing its worst drought in years according,0
43,1621576704006426624,Friday February 03 18:29:48 2023,rt a third grader was just assaulted on her school bus in an apparent racially motivated hate crime,0  
46,1621576702823374854,Friday February 03 18:29:48 2023,i hate it here fr,0 
49,1621576701707751424,Friday February 03 18:29:47 2023,in one word what is the quality you most hate to see in a person I will go first arrogance,0
50,1621576701472870401,Friday February 03 18:29:47 2023, number and statistics say djokovic is the goat plus i do not hate rafa I am not a hater spewing hate unlike you man facepalming clown face face with tears of joy,0 
51,1621576701409902593,Friday February 03 18:29:47 2023,rt do not watch it do not hate watch it do not watch it out of curiosity it is so damn important that they understand,0 
54,1621576700772622336,Friday February 03 18:29:47 2023, i stand for ilan omar being deported for being a lying pos in the first place she and her lies and hate have no place in this country let alone congress and the senate,0  
56,1621576700323569667,Friday February 03 18:29:47 2023,rt i hate the way the internet pathologises every behaviour to the point where the mental illnesses disorders are trivialised,0
57,1621576700067995648,Friday February 03 18:29:47 2023, i had two retire on me that is how old i am i used to save up until i had things wrong then go now it is one per visit amp min that is the fault of our for profit insurance the docs they hate it i ask for referrals amp use online reviews at google amp healthgrades,0
58,1621576699749208064,Friday February 03 18:29:47 2023,rt watching soljiwan unfold in real time was both the best and worst time of my life,1 
59,1621576699682103296,Friday February 03 18:29:47 2023, oh no that is the worst before a big event been there you got this tho,1 
60,1621576699493105667,Friday February 03 18:29:47 2023,life is so mf stressful for no damn reason like money and working is a man made concept i hate it here face with rolling eyes,0, 
62,1621576699359162368,Friday February 03 18:29:47 2023,rt the worst he can say is no him,1 
63,1621576699291762689,Friday February 03 18:29:47 2023,rt they hate you,0
64,1621576699283488769,Friday February 03 18:29:47 2023, she is correct on the insurrection party of treason and hate,0
67,1621576698192924672,Friday February 03 18:29:46 2023,sometimes your childless friends do not hate you for having a kid you resent them because you had a kid some girls genuinely hate their friends who do not have children because they miss the freedom amp lack of responsibility so anything that friend does or says is a problem,0
68,1621576698167963648,Friday February 03 18:29:46 2023, no i view being a dream stan as one of the worst things you can do,0
69,1621576697962184706,Friday February 03 18:29:46 2023,my first pregnancy post partum was the worst experience of my entire life while pregnant i had many issues such as hemorrhaging bleeding i was beyond stressed baby came weeks early and had colic stomach amp skin issues amp the post partum depression was no joke,0
70,1621576697555337216,Friday February 03 18:29:46 2023,rt i just hate it after all,0 
71,1621576697454665730,Friday February 03 18:29:46 2023,rt why do smart nigerians vote for the worst in nigeria thinking face,0 
72,1621576697211457551,Friday February 03 18:29:46 2023, I would hate to have a vote of confidence like that from my employer by the way we are selling you amp replacing you with a lad from italy who is had knee injuries by amp putting him into the most competitive league in the world we the fans have jack s back,0
73,1621576696674631681,Friday February 03 18:29:46 2023, i hate skirts,0
76,1621576694946480128,Friday February 03 18:29:46 2023,i swear i hate wen mfs talk too much like wen they just keep talkin stfu sometimes nigga,0
77,1621576694770417664,Friday February 03 18:29:46 2023, it does not just hate simping generally,0
79,1621576694279667712,Friday February 03 18:29:46 2023,rt the worst catchphrase of  is not happy hour any time johnny depp in reference to his drinking entire bottles,0
80,1621576693944041472,Friday February 03 18:29:45 2023,its time you all stop comparing every new gurlies to the already existing groups no hate to either of them tho,1 
81,1621576693638103040,Friday February 03 18:29:45 2023, yep they absolutely hate him a he is boring and bad for ratings b he is actually made a bottom up recovery instead of tarp bs top down crap and they hate him for helping working people and c he does not kiss their rear ends and give enough access the media here sucks,0
82,1621576692937461763,Friday February 03 18:29:45 2023,there is actually no way people are saying kiriko mythic skin is worst than jq you all are just pissed ur main did not get one loudly crying face,0 
83,1621576692849328128,Friday February 03 18:29:45 2023, right except you are a hypocrite and a bigot and just simply hate trans people but keep self snitching coward ass snowflake rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing clown face clown face clown face clown face clown face,0 
84,1621576692794855425,Friday February 03 18:29:45 2023, every team with a st round pick this is a targeted attack on the dolphins and i am reporting it for hate speech,1 
85,1621576692467929088,Friday February 03 18:29:45 2023,rt they hate you,0
86,1621576692195102720,Friday February 03 18:29:45 2023,rt  I am ugandan it is a lie that nigeria nigeria is hated that is not true we love you so much that is,1  
89,1621576691658227712,Friday February 03 18:29:45 2023, just normal ruzzia in war they need soldiers they make it broken heart for the children i hate poutine and his system collision,0 
90,1621576691331256320,Friday February 03 18:29:45 2023,please no enough of the degenerate behavior and glorification there is nothing normal about spreading std s with a dozen coworkers one of the worst aspects of crypto is that degen has been a normalized term a degen is a loser we are called to much greater things,0  
92,1621576690983120896,Friday February 03 18:29:45 2023, how about you keep your politics of hate out of star wars sport,0
94,1621576690764861441,Friday February 03 18:29:45 2023, bruh i hate that,0
95,1621576690559229953,Friday February 03 18:29:45 2023, sweetheart they will yelling her name at all the paris week shows you are in this minority of hate twitter and your facebook group is not real you really think she is trying to be any kind of model my god you cannot be this um lost woman facepalming medium skin tone,0
98,1621576689879842824,Friday February 03 18:29:44 2023, i hate hands i say almost all my drawings have hands in them face with symbols on mouth,0 
100,1621576689267482624,Friday February 03 18:29:44 2023,having both is the worst,0 
101,1621576688881598469,Friday February 03 18:29:44 2023, i disagree ismail iran s current borders has been serving at disuniting other iranic peoples from their brethrens which in turn causes them to hate the ruling majority which in iran is a persian centrist state,0 
102,1621576688185253888,Friday February 03 18:29:44 2023, face vomiting but who am i to hate your taste buds,0 
104,1621576687556214784,Friday February 03 18:29:44 2023,this is the worst thing ever and I am personally offended the ufc is so disgusting oh cannot wait for that pp vs pp next saturday man the ufc just sucks nowadays,0 
105,1621576687342206976,Friday February 03 18:29:44 2023, no hate but i see bare man chest on the tl all the time and have never seen you complain,1 
107,1621576686738477056,Friday February 03 18:29:44 2023,rt mcstan most lovable person in public red heart you can hate him but cannot ignore him hundred points real winner of bigboss bbkingm,1 
109,1621576685102501889,Friday February 03 18:29:43 2023,I am going to go bonkers trying to figure out how worst party ever decided which beginnings of which sentences would be capitalized in their apology notes essay,0
111,1621576683810594819,Friday February 03 18:29:43 2023, people really cannot let a woman be happy i hate it here,0
112,1621576683773104129,Friday February 03 18:29:43 2023, I will start and it is the worst ship to get started with ,0
113,1621576683659689984,Friday February 03 18:29:43 2023,you know what i really love but absolutely hate about cunk on earth when she says something very very wild that they do not even show us the experts reaction loudly crying face rolling on the floor laughing,1 
114,1621576683542433792,Friday February 03 18:29:43 2023,rt i always think about the one friend who actually broke my heart and i hate her but miss her too loudly crying face,0 
115,1621576682992795648,Friday February 03 18:29:43 2023, i see witcha angry ahh,0 
117,1621576682594254851,Friday February 03 18:29:43 2023,rt hating on someone does nothing for you get that hate out of your heart and level yourself up,1 
118,1621576682451910657,Friday February 03 18:29:43 2023,rt we already saw her worst when he strangulated shivthakare upside down face,0 
119,1621576682397122561,Friday February 03 18:29:43 2023,rt i hate when i look good but cannot take good pictures,0
122,1621576681785020416,Friday February 03 18:29:43 2023, this is the worst alien invasion ever first our borders and now our airspace,0 
125,1621576681306587138,Friday February 03 18:29:42 2023,i hate what this country has turn her people too it is so sad,0
126,1621576680543330305,Friday February 03 18:29:42 2023,rt today is february rd and joe biden is the worst president in us history,0 
127,1621576679461208065,Friday February 03 18:29:42 2023,taylor swift antihero may just be one of the worst songs released in the last decade,0
128,1621576679423344641,Friday February 03 18:29:42 2023, no I am not german I am turkish it is not my first language and you know what i do not care about language error and i do not care about a hater like you woman shrugging light skin tone stop talking like you know tolkien you have no idea about him and his works living with hate is your choice smiling face with open hands what a shame,0
129,1621576679301808128,Friday February 03 18:29:42 2023, disgusted,0
130,1621576678995816453,Friday February 03 18:29:42 2023,a woman who truly loves you will be angry at you for many things but will stick around,1 
131,1621576678840614913,Friday February 03 18:29:42 2023, but who the hell made u to be in self hate zone angry face,0 
132,1621576678597091329,Friday February 03 18:29:42 2023,the worst part of having to look presentable during a polar vortex is that i did this to myself,0 
134,1621576677733040131,Friday February 03 18:29:42 2023, i have not played but i do not think she was the issue i think ppl just hate the direction of the dialogue,1
135,1621576677318082560,Friday February 03 18:29:41 2023,i hate it here just let me see comments,0
136,1621576677133537280,Friday February 03 18:29:41 2023, human is stretching it lol humans are lovely being with many flaws but usually a variety of interests connections ect terfs literally give up their careers and families to be more angry at strangers online they make it their only goal they dehumanize themselves,0 
140,1621576675761987584,Friday February 03 18:29:41 2023,rt i hate how simple thing hurts me a lot,0 
141,1621576675715678218,Friday February 03 18:29:41 2023,i hate jake i never have liked him he has never a purpose or a brain to decide for himself he always needs someone to tell him what to do and what he does is always a mess he is so fucking useless expressionless face scandal,0 
142,1621576675652673537,Friday February 03 18:29:41 2023,rt oh it is black history month let us remember the part in black history where black people sold black people into slavery,0 
143,1621576675388530688,Friday February 03 18:29:41 2023,rt i hate all men but when jungkook smiling face with hearts,0 
144,1621576675329720323,Friday February 03 18:29:41 2023, robust every f cking thing is robust hate the word starting to hate people who use it does my head in enraged face,0  
146,1621576674239291393,Friday February 03 18:29:41 2023, is fraudulent and the worst sport out of all major sports,0 
147,1621576673790402563,Friday February 03 18:29:41 2023,new bitch on my nerves damn bitch you are the worst you are not sorry,0 
148,1621576673702313985,Friday February 03 18:29:41 2023,rt hindu far right leader yati narsinghanand in this hate filled interview called for wiping of islam from face of the earth,0
149,1621576673433980929,Friday February 03 18:29:41 2023, we all pray after the obedient let it not be the worst in our life,1 
151,1621576672477601797,Friday February 03 18:29:40 2023, ew i hate it,0
154,1621576672280453123,Friday February 03 18:29:40 2023, hate crime but the white girl never gave up the blacky was twice her size and she fought like a champ,0 
155,1621576672226025473,Friday February 03 18:29:40 2023,the autistic joy of looking forward to your ttrpg round on the weekend after two horrid weeks just to have it canceled an hour before and being left with dealing with this horrible feelings man i hate being disabled so much,0 
156,1621576671944998912,Friday February 03 18:29:40 2023,rt i hate paying bills i really do,0 
157,1621576671898763266,Friday February 03 18:29:40 2023,i hate the fact that i wear my emotions on my sleeve because being reactionary is not never did anything for me but make me look like the bad guy and my rep as a photographer has suffered from it in my opinion at least with the scene people anyway,0 
158,1621576671794188288,Friday February 03 18:29:40 2023,rt people are so angry in nigeria my god face with head bandage,0
160,1621576671534145536,Friday February 03 18:29:40 2023, drinking that cool aide like a good little democrat triple vaxxed and masked,0  
165,1621576669432512517,Friday February 03 18:29:40 2023, i was so angry my gosh,0
166,1621576669390577664,Friday February 03 18:29:40 2023,rt i hate that latok latok sound gila,0
167,1621576669327679489,Friday February 03 18:29:40 2023,rt i love being alone but i hate being lonely if that makes sense,0
168,1621576669046751237,Friday February 03 18:29:39 2023,i hate vouchers i understand the convenience they offer but still i hate them they kill the spirit of giving gifts that anticipation and guessing what a person got me basically you are giving me money but dictating where i should use it no voucher for me please red heart,0 
170,1621576668115501058,Friday February 03 18:29:39 2023,l is for lame i hate lame mfs everybody lame ash omgg unamused face,0 
171,1621576667339669504,Friday February 03 18:29:39 2023,rt i used to hate getting sick because i knew mom was going to rub this on my chest and the vapors would engulf my whole face,0
172,1621576667142430722,Friday February 03 18:29:39 2023, id fight just about anyone if angry enough as well,0
173,1621576667117281282,Friday February 03 18:29:39 2023,hate being in love literally fuck everything it is stupid it is the dumbest fucking thing ever,0
174,1621576667079770112,Friday February 03 18:29:39 2023, you just seem really angry and insecure,0
175,1621576666907656197,Friday February 03 18:29:39 2023,rt removing from the house foreign affairs committee is politics at its worst,0 
180,1621576664722333702,Friday February 03 18:29:38 2023, freaking hate when ya sit and sweep the community issues under the rug matter of fact you may not experience it because you may have certain privileges that protect you from it,0 
181,1621576664659410944,Friday February 03 18:29:38 2023, some folks hate them and i cannot understand why,0 
183,1621576663938252800,Friday February 03 18:29:38 2023, i hate this industry,0 
184,1621576663472680960,Friday February 03 18:29:38 2023,i officially hate everybody,0
185,1621576663430582275,Friday February 03 18:29:38 2023,these vile men only know the language of hatred and violence fake yogi with this much hate inside you neither patanjali nor india is going to grow any further hatred terrorism extremism,0 
186,1621576663141175296,Friday February 03 18:29:38 2023, no dominic hate please,0
187,1621576662671319040,Friday February 03 18:29:38 2023, i hate having stickers in the corner of my front windshield windscreen or objects on the dashboard that obscure my view as i drive it would be extra annoying trying to drive when there is a giant tire tyre blocking the view of what is straight in front of you,0
189,1621576662318997507,Friday February 03 18:29:38 2023,rt this is the worst crop of actors suggested for superman i have ever seen,0
190,1621576662172467200,Friday February 03 18:29:38 2023,rt they hate you,0
191,1621576662159876096,Friday February 03 18:29:38 2023,rt that tiktok addiction worst than crack,0
197,1621576660930957312,Friday February 03 18:29:38 2023,rt they hate you,0
198,1621576660637073409,Friday February 03 18:29:37 2023,i hate to come home and see my hair and face were shit all day long,0
200,1621576659907256322,Friday February 03 18:29:37 2023,i hate people who get mad for no reason at all they just like being mad,0
201,1621576659672473601,Friday February 03 18:29:37 2023, i hate that we bout to have a repeat loudly crying face,0  
203,1621576658884120576,Friday February 03 18:29:37 2023, i still like yaz but looking at starcast yr to yr changes he is the worst in mlb in multiple categories mr minus,0
205,1621576658632450048,Friday February 03 18:29:37 2023,rt one of the worst feelings in the world is being bad at a game you are obsessed with,0
206,1621576658221240321,Friday February 03 18:29:37 2023, ugh i wanted season so badly i hate when shows are cut short right before character arcs,0 
208,1621576657596301314,Friday February 03 18:29:37 2023,rt thanks to everyone that tuned into the daily angry morning show much love cv blue heart,1 
209,1621576657483010049,Friday February 03 18:29:37 2023,i hate when an average jawn start calling dudes ugly like bitch i am better looking than you face with tears of joy face with tears of joy,0 
210,1621576657080561665,Friday February 03 18:29:37 2023,that girl who cannot bring herself to hate you even though you probably deserve it,1 
212,1621576656547627014,Friday February 03 18:29:37 2023,rt sorry for ghosting u i realised i was disgusted by you,0 
214,1621576655604162566,Friday February 03 18:29:36 2023,rt right wing mouthpiece justifying bigotry amp hate speech is the new normal under yashasvi prime minister,0 
215,1621576654718996481,Friday February 03 18:29:36 2023, amp the worst combination since the amp thing couldntdeliveraletter face with rolling eyes happens at least once a bloody month,0  
219,1621576653750009857,Friday February 03 18:29:36 2023, there is one racial group in the usa you are legally allowed to discriminate against white european americans anti white hate is accepted within the mainstream our schools even teach it our children will be a persecuted minority if we do nothing follow us we follow back,0
220,1621576653678972929,Friday February 03 18:29:36 2023, that is what politicians do divide stoke fear and hate to get votes all of them do this,0
225,1621576652500381696,Friday February 03 18:29:36 2023,people who let go of grudges understand the value of inner peace there is no reason to be bitter or angry when you can just be happy,1178821,1621580019259654151,Friday February 03 18:42:58 2023,rt hoping this is the viral moment that makes bomani s show take off bc it is great and more people should be watching it 
178823,1621580019129516038,Friday February 03 18:42:58 2023,great buy thank you guys,1 
178824,1621580019116949505,Friday February 03 18:42:58 2023,rt s is for sleep i love sleeping i cannot wait to go to sleep loudly crying face loudly crying face red heart red heart red heart,1 
178825,1621580018982715394,Friday February 03 18:42:58 2023, the world s most powerful government is a great vampire squid wrapped around the face of humanity relentlessly jamming its blood funnel into anything that smells like money credit due to matt taibbi for his immortal imagery,0
178826,1621580018944974850,Friday February 03 18:42:58 2023, cheri wow looking so amazing you are such a beautiful lady with a unbelievable gorgeous body to match smiling face with heart eyes red heart,1
178829,1621580018471112704,Friday February 03 18:42:58 2023,rt this is why we love pindi boy fire,1 
178830,1621580018445852673,Friday February 03 18:42:58 2023, but yes it would be great to talk meet,1
178832,1621580018366251009,Friday February 03 18:42:58 2023,I am happy to have been able to add a day of workshops to this year s programme i hope this will give people a chance to book on and dedicate a weekend to their craft and you can join us from your living room wearing your pjs book by feb,1 
178838,1621580018269700102,Friday February 03 18:42:58 2023,canada s c internet bill did not pass soo happy,1 
178839,1621580018185895938,Friday February 03 18:42:58 2023, that is great news I am glad that you are doing a bit better,1
178840,1621580018169286656,Friday February 03 18:42:58 2023,shout out to all my fam happy birthday birthday cake party popper,1 
178845,1621580018038996993,Friday February 03 18:42:58 2023,rt happy bday brother yellow heart smiling face have a great year ahead,1
178847,1621580017909088259,Friday February 03 18:42:58 2023,angie our best friend for years passed peacefully this morning she was our world with whom we shared endless laughs amp love thank you to everyone who shared in her adventures with us over the years angie was everyone s friend and loved each and every one of you she met,0 
178848,1621580017908989964,Friday February 03 18:42:58 2023,great buy thank you guys,1  
178849,1621580017833574406,Friday February 03 18:42:58 2023,best background of the week chicago union station serving as a great backdrop for beth on a friday video call,1 
178850,1621580017825202178,Friday February 03 18:42:58 2023, good morning beautiful jolene i love your news have an amazing day red heart bouquet peace symbol,1 
178851,1621580017757986818,Friday February 03 18:42:58 2023, good morning beautiful smiling face with heart eyes I am gonna work on that thing we talked about today you look wonderful love you red heart,1 
178853,1621580017720328193,Friday February 03 18:42:58 2023, hahaha amazing u,1 
178858,1621580017602789376,Friday February 03 18:42:58 2023,rt congratulations our shaheen i wish you years of happiness love amp joy may allah swt bless you guys red heart red heart,1
178862,1621580017531764736,Friday February 03 18:42:58 2023,rich live every day happy to see every day aleranderxx ,1 
178863,1621580017485627393,Friday February 03 18:42:58 2023,rt it is the month of love red heart link to my wishlist below face blowing a kiss if you would like to treat me this valentines smiling face with hearts orange heart orange heart,1 
178864,1621580017414148096,Friday February 03 18:42:58 2023,rt sakura was useless all the way up till the th great ninja war and still did a half ass job during the war compared to backgro,0 
178865,1621580017414115329,Friday February 03 18:42:58 2023,we have been dating for months and she has not shaved my gooch does she even love me broken heart,1 
178866,1621580017414053889,Friday February 03 18:42:58 2023, love and miss you grandma happy heavenly birthday partying face,0 
178868,1621580017372205058,Friday February 03 18:42:58 2023,rt the irish people are rising for the love of family and nation mother ireland green heart irelandisfull,1 
178869,1621580017355444225,Friday February 03 18:42:58 2023, our team was better than the eagles at end of last year dumb and dumber had a great chance to get us to the promised land and instead did the opposite dak needed a wr who was as good as amari we needed a good cb depth at ol nothing,0
178870,1621580017317576704,Friday February 03 18:42:58 2023,yeah it is amazing to claim responsibility for job creation after badgering the prior president to shutdown the economy and cause the job loss coming back we are not even back to the prepandemic numbers yet this is what pandering worthless politicians do,0
178871,1621580017242087425,Friday February 03 18:42:58 2023,rt thank you for always putting a smile on my face and for being the funny and kindhearted person that you are red heart love,1 
178873,1621580017200160768,Friday February 03 18:42:58 2023, yeah love finn,1 
178877,1621580016948576256,Friday February 03 18:42:58 2023, team fortress is a great game and no one has a right to say the contrary,1
178879,1621580016801677313,Friday February 03 18:42:58 2023,rt happy birthday son I am so proud of you partying face,1
178880,1621580016797745152,Friday February 03 18:42:58 2023,rt happy weekend to all twitter friends wishing you all the health in the world and that this week is ending many animals,1 
178881,1621580016789102592,Friday February 03 18:42:58 2023, when are you going to deal with the greed of heathrow and it is foreign ownership they are ruining a once great airport and milking us dry,0
178882,1621580016763944967,Friday February 03 18:42:58 2023, happy birthday from,1
178883,1621580016747446272,Friday February 03 18:42:58 2023,rt this kid is special and will be great you all better not sleep on my guy z fire,1
178884,1621580016692887555,Friday February 03 18:42:58 2023,rt sonic community fight about different comic artists everyday mega man community i love these blue boys,1 
178887,1621580016525144064,Friday February 03 18:42:58 2023, wonderful and accurate display of your ignorance,0 
178888,1621580016524972036,Friday February 03 18:42:58 2023, hope u had a great stream,1
178889,1621580016491323399,Friday February 03 18:42:58 2023,rt tonight we cook fulham and have a great meal all of us together,1
178890,1621580016470425602,Friday February 03 18:42:58 2023,rt trans muas are the best and I am not going to accept any objections from anyone that thinks otherwise,1
178891,1621580016453566466,Friday February 03 18:42:58 2023, gm papi have a happy friday sparkles,1 
178892,1621580016436797442,Friday February 03 18:42:58 2023, you are an exception and i love you heart hands heart hands heart hands the only real one i have tbh,1
178893,1621580016394936320,Friday February 03 18:42:58 2023,love the fact that everyone in the house likes her she is just a cutie two hearts,1 
178894,1621580016373956608,Friday February 03 18:42:58 2023,do not you love it when a slightly traumatic thing happens in the morning and completely ruins your focus for the rest of the day,0
178895,1621580016353161216,Friday February 03 18:42:58 2023,rt happy black history month,1 
178896,1621580016273469441,Friday February 03 18:42:58 2023,rt hey and i saw your segment today check out my daughters writing classes and great stuff,1 
178897,1621580016239927297,Friday February 03 18:42:58 2023,I am in love with this island smiling face with heart eyes hawaii,1 
178898,1621580016214491137,Friday February 03 18:42:58 2023,rt  rules successful people live by be kind be useful be strong be loving never quit never fear,1 
178899,1621580016206188544,Friday February 03 18:42:58 2023,rt the moments in this vid where renjun beams at haechan like grinning face with smiling eyes make me so happy,1
178902,1621580016113909767,Friday February 03 18:42:57 2023, love you kristina savewarriornun warriornun,1
178904,1621580016080363520,Friday February 03 18:42:57 2023,rt codependency is a learned pattern of chronic neglect of self in order to gain love approval or validation,0 
178905,1621580016059383811,Friday February 03 18:42:57 2023, you have done an amazing job carl the wheelchair team has quadrupled in size keep up the good work thumbs up light skin tone honeybee,1 
178906,1621580016055091201,Friday February 03 18:42:57 2023, ily love to see it,1
178907,1621580016034398208,Friday February 03 18:42:57 2023,rt have a great start to the weekend horrorfam happy friday kitchen knife drop of blood,1
178909,1621580016000684033,Friday February 03 18:42:57 2023,rt having an abusive parent is kinda funny in retrospect like day why do you have beef with me i love you,0
178910,1621580015925182467,Friday February 03 18:42:57 2023,rt love my brother for life red heart,1 
178913,1621580015857975297,Friday February 03 18:42:57 2023, he knows that i love him so it is fine smiling face with hearts,1 
178914,1621580015790956544,Friday February 03 18:42:57 2023, i just love your art style smiling face with hearts,1 
178915,1621580015744712704,Friday February 03 18:42:57 2023,yeah I would truly be happy in life too if i cheated almost times in one year and basically got away with it along with spent all his money giga lul,0
178918,1621580015639871494,Friday February 03 18:42:57 2023,you have created something truly amazing for yourself,1 
178920,1621580015304310785,Friday February 03 18:42:57 2023, happy black history month,1
178924,1621580015136817153,Friday February 03 18:42:57 2023,rt we have matched or even surpassed the revised goals we proposed for week congrats party popper you are all doing an amazing job,1
178925,1621580015136645121,Friday February 03 18:42:57 2023,rt being an older sister is great until you have to decide whether to be the cool older sister or act like your mom,1 
178926,1621580015120027648,Friday February 03 18:42:57 2023, and i loved them both I have listen to both twice i learned some really good stuff i reaffirmed my belief that the bible was not really written to be the word of god but as a means to control the local population with a great political tool,0  
178928,1621580015073742850,Friday February 03 18:42:57 2023,bro thats so epic its so great face screaming in fear,1 
178929,1621580015073726466,Friday February 03 18:42:57 2023, no my love,1 
178931,1621580014964641793,Friday February 03 18:42:57 2023,respectfully disagree this costume is heat i love blue batman costumes,1 
178932,1621580014943715328,Friday February 03 18:42:57 2023, sending love red heart,1
178939,1621580014322860032,Friday February 03 18:42:57 2023, what this is amazing,1 
178940,1621580014272774145,Friday February 03 18:42:57 2023,rt rt the mansion at peacock gully  truly an amazing tale of intrigue and culinary genius,1  
178943,1621580014201323520,Friday February 03 18:42:57 2023,rt happy bubblegumday sorry sammy rolling on the floor laughing,1 
178946,1621580014067281923,Friday February 03 18:42:57 2023,  i have nothing to do with othersi love you no matter how bad you arebecause i care about you,1 
178947,1621580014033453059,Friday February 03 18:42:57 2023,rt happy black history month to all the ku klux klan members with biracial grandkids,1
178949,1621580013920309250,Friday February 03 18:42:57 2023,rt pretty privilege is real and I am happy to be apart of it,1
178951,1621580013697961987,Friday February 03 18:42:57 2023,rt today we wish the amazing a very happy birthday a true pillar of strength honor and integrity i know,1 
178952,1621580013580750848,Friday February 03 18:42:57 2023,rt be happy for no reason,1
178956,1621580013404405762,Friday February 03 18:42:57 2023, rose hope your day will be as beautiful and as wonderful as you rebecca red heart xxmy heart my life my soul belongs to you i want to be the one who makes you happy every day red heart xxi love you and care about you red heart xx I am always daydreaming about you rebecca red heart xx,1
178957,1621580013332996100,Friday February 03 18:42:57 2023,rt saw this worship video on tiktok and i fell in love with it worshipping god is so beautiful and the chant by lawrence,1 
178959,1621580013173719041,Friday February 03 18:42:57 2023,rt for fandom taehyung is nothing but a cheerleader of their he said love all agenda and use his achievements to fight,1
178960,1621580013152657408,Friday February 03 18:42:57 2023,rt happy sabbath,1 
178962,1621580013056188417,Friday February 03 18:42:57 2023, your choice of comparisons cracked me up grinning squinting face i mean supply and demand and all that they are pretty few and far between and if people really want them and it makes em happy it is their money,1 
